Group,Letter,Participant,Accuracy
Non-Mediated,L,13,100
Non-Mediated,L,14,100
Non-Mediated,L,15,100
Non-Mediated,L,16,100
Non-Mediated,L,17,50
Non-Mediated,L,18,100
Non-Mediated,M,1,100
Non-Mediated,M,2,100
Non-Mediated,M,3,100
Non-Mediated,M,4,100
Non-Mediated,M,5,100
Non-Mediated,M,6,100
Non-Mediated,M,7,100
Non-Mediated,M,8,100
Non-Mediated,M,9,50
Non-Mediated,M,10,100
Non-Mediated,M,11,100
Non-Mediated,M,12,100
Non-Mediated,M,13,100
Non-Mediated,M,14,50
Non-Mediated,M,15,100
Non-Mediated,M,16,100
Non-Mediated,M,17,100
Non-Mediated,M,18,100
Mediated,A,1,100
Mediated,A,2,100
Mediated,A,3,100
Mediated,A,4,100
Mediated,A,5,100
Mediated,A,6,100
Mediated,A,7,100
Mediated,A,8,50
Mediated,A,9,100
Mediated,A,10,50
Mediated,A,11,100
Mediated,A,12,100
Mediated,A,13,100
Mediated,A,14,100
Mediated,A,15,100
Mediated,A,16,100
Mediated,A,17,100
Mediated,A,18,100
Mediated,B,1,0
Mediated,B,2,100
Mediated,B,3,0
Mediated,B,4,0
Mediated,B,5,0
Mediated,B,6,0
Mediated,B,7,0
Mediated,B,8,0
Mediated,B,9,0
Mediated,B,10,0
Mediated,B,11,50
Mediated,B,12,100
Mediated,B,13,0
Mediated,B,14,0
Mediated,B,15,0
Mediated,B,16,0
Mediated,B,17,50
Mediated,B,18,0
Mediated,C,1,100
Mediated,C,2,100
Mediated,C,3,50
Mediated,C,4,100
Mediated,C,5,50
Mediated,C,6,100
Mediated,C,7,100
Mediated,C,8,100
Mediated,C,9,100
Mediated,C,10,100
Mediated,C,11,0
Mediated,C,12,100
Mediated,C,13,50
Mediated,C,14,100
Mediated,C,15,100
Mediated,C,16,0
Mediated,C,17,100
Mediated,C,18,100
Mediated,D,1,100
Mediated,D,2,50
Mediated,D,3,100
Mediated,D,4,100
Mediated,D,5,0
Mediated,D,6,100
Mediated,D,7,100
Mediated,D,8,0
Mediated,D,9,100
Mediated,D,10,50
Mediated,D,11,50
Mediated,D,12,50
Mediated,D,13,0
Mediated,D,14,100
Mediated,D,15,100
Mediated,D,16,100
Mediated,D,17,50
Mediated,D,18,0
Mediated,E,1,100
Mediated,E,2,100
Mediated,E,3,100
Mediated,E,4,100
Mediated,E,5,100
Mediated,E,6,100
Mediated,E,7,100
Mediated,E,8,100
Mediated,E,9,100
Mediated,E,10,0
Mediated,E,11,50
Mediated,E,12,100
Mediated,E,13,100
Mediated,E,14,100
Mediated,E,15,100
Mediated,E,16,50
Mediated,E,17,100
Mediated,E,18,100
Mediated,F,1,50
Mediated,F,2,0
Mediated,F,3,50
Mediated,F,4,0
Mediated,F,5,0
Mediated,F,6,50
Mediated,F,7,50
Mediated,F,8,50
Mediated,F,9,50
Mediated,F,10,0
Mediated,F,11,50
Mediated,F,12,0
Mediated,F,13,0
Mediated,F,14,50
Mediated,F,15,50
Mediated,F,16,0
Mediated,F,17,0
Mediated,F,18,50
Mediated,G,1,0
Mediated,G,2,50
Mediated,G,3,100
Mediated,G,4,0
Mediated,G,5,50
Mediated,G,6,0
Mediated,G,7,0
Mediated,G,8,0
Mediated,G,9,0
Mediated,G,10,0
Mediated,G,11,0
Mediated,G,12,0
Mediated,G,13,100
Mediated,G,14,50
Mediated,G,15,50
Mediated,G,16,0
Mediated,G,17,50
Mediated,G,18,50
Mediated,H,1,100
Mediated,H,2,100
Mediated,H,3,100
Mediated,H,4,100
Mediated,H,5,50
Mediated,H,6,50
Mediated,H,7,100
Mediated,H,8,100
Mediated,H,9,100
Mediated,H,10,100
Mediated,H,11,100
Mediated,H,12,100
Mediated,H,13,100
Mediated,H,14,100
Mediated,H,15,100
Mediated,H,16,50
Mediated,H,17,100
Mediated,H,18,50
Mediated,I,1,100
Mediated,I,2,100
Mediated,I,3,100
Mediated,I,4,100
Mediated,I,5,100
Mediated,I,6,100
Mediated,I,7,100
Mediated,I,8,100
Mediated,I,9,100
Mediated,I,10,100
Mediated,I,11,100
Mediated,I,12,100
Mediated,I,13,100
Mediated,I,14,100
Mediated,I,15,100
Mediated,I,16,50
Mediated,I,17,50
Mediated,I,18,100
Mediated,J,1,100
Mediated,J,2,100
Mediated,J,3,100
Mediated,J,4,100
Mediated,J,5,50
Mediated,J,6,100
Mediated,J,7,100
Mediated,J,8,100
Mediated,J,9,100
Mediated,J,10,100
Mediated,J,11,100
Mediated,J,12,100
Mediated,J,13,50
Mediated,J,14,100
Mediated,J,15,100
Mediated,J,16,50
Mediated,J,17,100
Mediated,J,18,100
Mediated,K,1,100
Mediated,K,2,0
Mediated,K,3,50
Mediated,K,4,50
Mediated,K,5,0
Mediated,K,6,50
Mediated,K,7,0
Mediated,K,8,0
Mediated,K,9,50
Mediated,K,10,50
Mediated,K,11,0
Mediated,K,12,100
Mediated,K,13,100
Mediated,K,14,100
Mediated,K,15,0
Mediated,K,16,0
Mediated,K,17,50
Mediated,K,18,50
Mediated,L,1,100
Mediated,L,2,100
Mediated,L,3,50
Mediated,L,4,100
Mediated,L,5,0
Mediated,L,6,0
Mediated,L,7,100
Mediated,L,8,100
Mediated,L,9,50
Mediated,L,10,50
Mediated,L,11,50
Mediated,L,12,100
Mediated,L,13,50
Mediated,L,14,0
Mediated,L,15,50
Mediated,L,16,50
Mediated,L,17,100
Mediated,L,18,0
Mediated,M,1,0
Mediated,M,2,50
Mediated,M,3,100
Mediated,M,4,100
Mediated,M,5,0
Mediated,M,6,0
Mediated,M,7,50
Mediated,M,8,100
Mediated,M,9,50
Mediated,M,10,50
Mediated,M,11,50
Mediated,M,12,100
Mediated,M,13,0
Mediated,M,14,0
Mediated,M,15,50
Mediated,M,16,50
Mediated,M,17,0
Mediated,M,18,0
