Group,Letter,Participant,Accuracy
Non-Mediated,L,13,100
Non-Mediated,L,14,100
Non-Mediated,L,15,100
Non-Mediated,L,16,100
Non-Mediated,L,17,50
Non-Mediated,L,18,100
Non-Mediated,M,1,100
Non-Mediated,M,2,100
Non-Mediated,M,3,100
Non-Mediated,M,4,100
Non-Mediated,M,5,100
Non-Mediated,M,6,100
Non-Mediated,M,7,100
Non-Mediated,M,8,100
Non-Mediated,M,9,50
Non-Mediated,M,10,100
Non-Mediated,M,11,100
Non-Mediated,M,12,100
Non-Mediated,M,13,100
Non-Mediated,M,14,50
Non-Mediated,M,15,100
Non-Mediated,M,16,100
Non-Mediated,M,17,100
Non-Mediated,M,18,100
Non-Mediated,N,1,100
Non-Mediated,N,2,100
Non-Mediated,N,3,100
Non-Mediated,N,4,100
Non-Mediated,N,5,100
Non-Mediated,N,6,100
Non-Mediated,N,7,100
Non-Mediated,N,8,100
Non-Mediated,N,9,100
Non-Mediated,N,10,100
Non-Mediated,N,11,100
Non-Mediated,N,12,100
Non-Mediated,N,13,100
Non-Mediated,N,14,100
Non-Mediated,N,15,100
Non-Mediated,N,16,50
Non-Mediated,N,17,100
Non-Mediated,N,18,100
Non-Mediated,O,1,100
Non-Mediated,O,2,100
Non-Mediated,O,3,100
Non-Mediated,O,4,100
Non-Mediated,O,5,100
Non-Mediated,O,6,100
Non-Mediated,O,7,100
Non-Mediated,O,8,100
Non-Mediated,O,9,100
Non-Mediated,O,10,50
Non-Mediated,O,11,50
Non-Mediated,O,12,100
Non-Mediated,O,13,100
Non-Mediated,O,14,100
Non-Mediated,O,15,100
Non-Mediated,O,16,100
Non-Mediated,O,17,100
Non-Mediated,O,18,100
Non-Mediated,P,1,100
Non-Mediated,P,2,100
Non-Mediated,P,3,100
Non-Mediated,P,4,100
Non-Mediated,P,5,0
Non-Mediated,P,6,100
Non-Mediated,P,7,100
Non-Mediated,P,8,0
Non-Mediated,P,9,100
Non-Mediated,P,10,100
Non-Mediated,P,11,100
Non-Mediated,P,12,100
Non-Mediated,P,13,100
Non-Mediated,P,14,100
Non-Mediated,P,15,100
Non-Mediated,P,16,100
Non-Mediated,P,17,100
Non-Mediated,P,18,100
Non-Mediated,Q,1,100
Non-Mediated,Q,2,100
Non-Mediated,Q,3,100
Non-Mediated,Q,4,100
Non-Mediated,Q,5,100
Non-Mediated,Q,6,100
Non-Mediated,Q,7,100
Non-Mediated,Q,8,100
Non-Mediated,Q,9,100
Non-Mediated,Q,10,100
Non-Mediated,Q,11,100
Non-Mediated,Q,12,100
Non-Mediated,Q,13,100
Non-Mediated,Q,14,100
Non-Mediated,Q,15,100
Non-Mediated,Q,16,100
Non-Mediated,Q,17,100
Non-Mediated,Q,18,100
Non-Mediated,R,1,100
Non-Mediated,R,2,0
Non-Mediated,R,3,100
Non-Mediated,R,4,0
Non-Mediated,R,5,100
Non-Mediated,R,6,100
Non-Mediated,R,7,50
Non-Mediated,R,8,100
Non-Mediated,R,9,100
Non-Mediated,R,10,50
Non-Mediated,R,11,50
Non-Mediated,R,12,100
Non-Mediated,R,13,100
Non-Mediated,R,14,0
Non-Mediated,R,15,100
Non-Mediated,R,16,0
Non-Mediated,R,17,50
Non-Mediated,R,18,0
Non-Mediated,S,1,100
Non-Mediated,S,2,100
Non-Mediated,S,3,100
Non-Mediated,S,4,100
Non-Mediated,S,5,100
Non-Mediated,S,6,100
Non-Mediated,S,7,100
Non-Mediated,S,8,100
Non-Mediated,S,9,0
Non-Mediated,S,10,50
Non-Mediated,S,11,100
Non-Mediated,S,12,100
Non-Mediated,S,13,100
Non-Mediated,S,14,100
Non-Mediated,S,15,100
Non-Mediated,S,16,100
Non-Mediated,S,17,0
Non-Mediated,S,18,100
Non-Mediated,T,1,100
Non-Mediated,T,2,100
Non-Mediated,T,3,100
Non-Mediated,T,4,100
Non-Mediated,T,5,100
Non-Mediated,T,6,0
Non-Mediated,T,7,100
Non-Mediated,T,8,50
Non-Mediated,T,9,0
Non-Mediated,T,10,50
Non-Mediated,T,11,100
Non-Mediated,T,12,100
Non-Mediated,T,13,100
Non-Mediated,T,14,100
Non-Mediated,T,15,100
Non-Mediated,T,16,100
Non-Mediated,T,17,100
Non-Mediated,T,18,100
Non-Mediated,U,1,100
Non-Mediated,U,2,100
Non-Mediated,U,3,100
Non-Mediated,U,4,100
Non-Mediated,U,5,100
Non-Mediated,U,6,100
Non-Mediated,U,7,100
Non-Mediated,U,8,100
Non-Mediated,U,9,100
Non-Mediated,U,10,100
Non-Mediated,U,11,100
Non-Mediated,U,12,100
Non-Mediated,U,13,100
Non-Mediated,U,14,100
Non-Mediated,U,15,100
Non-Mediated,U,16,100
Non-Mediated,U,17,100
Non-Mediated,U,18,100
Non-Mediated,V,1,100
Non-Mediated,V,2,100
Non-Mediated,V,3,100
Non-Mediated,V,4,100
Non-Mediated,V,5,100
Non-Mediated,V,6,100
Non-Mediated,V,7,100
Non-Mediated,V,8,100
Non-Mediated,V,9,100
Non-Mediated,V,10,100
Non-Mediated,V,11,100
Non-Mediated,V,12,100
Non-Mediated,V,13,0
Non-Mediated,V,14,100
Non-Mediated,V,15,100
Non-Mediated,V,16,100
Non-Mediated,V,17,100
Non-Mediated,V,18,100
Non-Mediated,W,1,50
Non-Mediated,W,2,100
Non-Mediated,W,3,100
Non-Mediated,W,4,100
Non-Mediated,W,5,100
Non-Mediated,W,6,100
Non-Mediated,W,7,100
Non-Mediated,W,8,0
Non-Mediated,W,9,0
Non-Mediated,W,10,50
Non-Mediated,W,11,100
Non-Mediated,W,12,100
Non-Mediated,W,13,100
Non-Mediated,W,14,100
Non-Mediated,W,15,100
Non-Mediated,W,16,100
Non-Mediated,W,17,100
Non-Mediated,W,18,100
Non-Mediated,X,1,100
Non-Mediated,X,2,100
Non-Mediated,X,3,100
Non-Mediated,X,4,0
Non-Mediated,X,5,100
Non-Mediated,X,6,100
Non-Mediated,X,7,0
Non-Mediated,X,8,0
Non-Mediated,X,9,0
Non-Mediated,X,10,0
Non-Mediated,X,11,50
Non-Mediated,X,12,100
Non-Mediated,X,13,50
Non-Mediated,X,14,100
Non-Mediated,X,15,0
Non-Mediated,X,16,100
Non-Mediated,X,17,0
Non-Mediated,X,18,100
Non-Mediated,Y,1,100
Non-Mediated,Y,2,100
Non-Mediated,Y,3,100
Non-Mediated,Y,4,100
Non-Mediated,Y,5,100
Non-Mediated,Y,6,100
Non-Mediated,Y,7,0
Non-Mediated,Y,8,0
Non-Mediated,Y,9,100
Non-Mediated,Y,10,100
Non-Mediated,Y,11,0
Non-Mediated,Y,12,100
Non-Mediated,Y,13,50
Non-Mediated,Y,14,100
Non-Mediated,Y,15,100
Non-Mediated,Y,16,100
Non-Mediated,Y,17,50
Non-Mediated,Y,18,100
Non-Mediated,Z,1,100
Non-Mediated,Z,2,100
Non-Mediated,Z,3,100
Non-Mediated,Z,4,100
Non-Mediated,Z,5,100
Non-Mediated,Z,6,100
Non-Mediated,Z,7,100
Non-Mediated,Z,8,100
Non-Mediated,Z,9,100
Non-Mediated,Z,10,100
Non-Mediated,Z,11,100
Non-Mediated,Z,12,100
Non-Mediated,Z,13,100
Non-Mediated,Z,14,100
Non-Mediated,Z,15,100
Non-Mediated,Z,16,100
Non-Mediated,Z,17,100
Non-Mediated,Z,18,100
Mediated,A,1,100
Mediated,A,2,100
Mediated,A,3,100
Mediated,A,4,100
Mediated,A,5,100
Mediated,A,6,100
Mediated,A,7,100
Mediated,A,8,50
Mediated,A,9,100
Mediated,A,10,50
Mediated,A,11,100
Mediated,A,12,100
Mediated,A,13,100
Mediated,A,14,100
Mediated,A,15,100
Mediated,A,16,100
Mediated,A,17,100
Mediated,A,18,100
Mediated,B,1,0
Mediated,B,2,100
Mediated,B,3,0
Mediated,B,4,0
Mediated,B,5,0
Mediated,B,6,0
Mediated,B,7,0
Mediated,B,8,0
Mediated,B,9,0
Mediated,B,10,0
Mediated,B,11,50
Mediated,B,12,100
Mediated,B,13,0
Mediated,B,14,0
Mediated,B,15,0
Mediated,B,16,0
Mediated,B,17,50
Mediated,B,18,0
Mediated,C,1,100
Mediated,C,2,100
Mediated,C,3,50
Mediated,C,4,100
Mediated,C,5,50
Mediated,C,6,100
Mediated,C,7,100
Mediated,C,8,100
Mediated,C,9,100
Mediated,C,10,100
Mediated,C,11,0
Mediated,C,12,100
Mediated,C,13,50
Mediated,C,14,100
Mediated,C,15,100
Mediated,C,16,0
Mediated,C,17,100
Mediated,C,18,100
Mediated,D,1,100
Mediated,D,2,50
Mediated,D,3,100
Mediated,D,4,100
Mediated,D,5,0
Mediated,D,6,100
Mediated,D,7,100
Mediated,D,8,0
Mediated,D,9,100
Mediated,D,10,50
Mediated,D,11,50
Mediated,D,12,50
Mediated,D,13,0
Mediated,D,14,100
Mediated,D,15,100
Mediated,D,16,100
Mediated,D,17,50
Mediated,D,18,0
Mediated,E,1,100
Mediated,E,2,100
Mediated,E,3,100
Mediated,E,4,100
Mediated,E,5,100
Mediated,E,6,100
Mediated,E,7,100
Mediated,E,8,100
Mediated,E,9,100
Mediated,E,10,0
Mediated,E,11,50
Mediated,E,12,100
Mediated,E,13,100
Mediated,E,14,100
Mediated,E,15,100
Mediated,E,16,50
Mediated,E,17,100
Mediated,E,18,100
Mediated,F,1,50
Mediated,F,2,0
Mediated,F,3,50
Mediated,F,4,0
Mediated,F,5,0
Mediated,F,6,50
Mediated,F,7,50
Mediated,F,8,50
Mediated,F,9,50
Mediated,F,10,0
Mediated,F,11,50
Mediated,F,12,0
Mediated,F,13,0
Mediated,F,14,50
Mediated,F,15,50
Mediated,F,16,0
Mediated,F,17,0
Mediated,F,18,50
Mediated,G,1,0
Mediated,G,2,50
Mediated,G,3,100
Mediated,G,4,0
Mediated,G,5,50
Mediated,G,6,0
Mediated,G,7,0
Mediated,G,8,0
Mediated,G,9,0
Mediated,G,10,0
Mediated,G,11,0
Mediated,G,12,0
Mediated,G,13,100
Mediated,G,14,50
Mediated,G,15,50
Mediated,G,16,0
Mediated,G,17,50
Mediated,G,18,50
Mediated,H,1,100
Mediated,H,2,100
Mediated,H,3,100
Mediated,H,4,100
Mediated,H,5,50
Mediated,H,6,50
Mediated,H,7,100
Mediated,H,8,100
Mediated,H,9,100
Mediated,H,10,100
Mediated,H,11,100
Mediated,H,12,100
Mediated,H,13,100
Mediated,H,14,100
Mediated,H,15,100
Mediated,H,16,50
Mediated,H,17,100
Mediated,H,18,50
Mediated,I,1,100
Mediated,I,2,100
Mediated,I,3,100
Mediated,I,4,100
Mediated,I,5,100
Mediated,I,6,100
Mediated,I,7,100
Mediated,I,8,100
Mediated,I,9,100
Mediated,I,10,100
Mediated,I,11,100
Mediated,I,12,100
Mediated,I,13,100
Mediated,I,14,100
Mediated,I,15,100
Mediated,I,16,50
Mediated,I,17,50
Mediated,I,18,100
Mediated,J,1,100
Mediated,J,2,100
Mediated,J,3,100
Mediated,J,4,100
Mediated,J,5,50
Mediated,J,6,100
Mediated,J,7,100
Mediated,J,8,100
Mediated,J,9,100
Mediated,J,10,100
Mediated,J,11,100
Mediated,J,12,100
Mediated,J,13,50
Mediated,J,14,100
Mediated,J,15,100
Mediated,J,16,50
Mediated,J,17,100
Mediated,J,18,100
Mediated,K,1,100
Mediated,K,2,0
Mediated,K,3,50
Mediated,K,4,50
Mediated,K,5,0
Mediated,K,6,50
Mediated,K,7,0
Mediated,K,8,0
Mediated,K,9,50
Mediated,K,10,50
Mediated,K,11,0
Mediated,K,12,100
Mediated,K,13,100
Mediated,K,14,100
Mediated,K,15,0
Mediated,K,16,0
Mediated,K,17,50
Mediated,K,18,50
Mediated,L,1,100
Mediated,L,2,100
Mediated,L,3,50
Mediated,L,4,100
Mediated,L,5,0
Mediated,L,6,0
Mediated,L,7,100
Mediated,L,8,100
Mediated,L,9,50
Mediated,L,10,50
Mediated,L,11,50
Mediated,L,12,100
Mediated,L,13,50
Mediated,L,14,0
Mediated,L,15,50
Mediated,L,16,50
Mediated,L,17,100
Mediated,L,18,0
Mediated,M,1,0
Mediated,M,2,50
Mediated,M,3,100
Mediated,M,4,100
Mediated,M,5,0
Mediated,M,6,0
Mediated,M,7,50
Mediated,M,8,100
Mediated,M,9,50
Mediated,M,10,50
Mediated,M,11,50
Mediated,M,12,100
Mediated,M,13,0
Mediated,M,14,0
Mediated,M,15,50
Mediated,M,16,50
Mediated,M,17,0
Mediated,M,18,0
Mediated,N,1,0
Mediated,N,2,0
Mediated,N,3,50
Mediated,N,4,50
Mediated,N,5,0
Mediated,N,6,0
Mediated,N,7,0
Mediated,N,8,50
Mediated,N,9,0
Mediated,N,10,0
Mediated,N,11,0
Mediated,N,12,0
Mediated,N,13,0
Mediated,N,14,0
Mediated,N,15,0
Mediated,N,16,0
Mediated,N,17,0
Mediated,N,18,0
Mediated,O,1,100
Mediated,O,2,100
Mediated,O,3,100
Mediated,O,4,100
Mediated,O,5,50
Mediated,O,6,100
Mediated,O,7,100
Mediated,O,8,100
Mediated,O,9,100
Mediated,O,10,100
Mediated,O,11,100
Mediated,O,12,100
Mediated,O,13,100
Mediated,O,14,100
Mediated,O,15,100
Mediated,O,16,100
Mediated,O,17,50
Mediated,O,18,100
Mediated,P,1,0
Mediated,P,2,100
Mediated,P,3,0
Mediated,P,4,0
Mediated,P,5,0
Mediated,P,6,0
Mediated,P,7,0
Mediated,P,8,50
Mediated,P,9,0
Mediated,P,10,0
Mediated,P,11,0
Mediated,P,12,0
Mediated,P,13,0
Mediated,P,14,0
Mediated,P,15,0
Mediated,P,16,0
Mediated,P,17,100
Mediated,P,18,0
Mediated,Q,1,100
Mediated,Q,2,100
Mediated,Q,3,100
Mediated,Q,4,50
Mediated,Q,5,50
Mediated,Q,6,100
Mediated,Q,7,100
Mediated,Q,8,0
Mediated,Q,9,100
Mediated,Q,10,0
Mediated,Q,11,50
Mediated,Q,12,100
Mediated,Q,13,100
Mediated,Q,14,0
Mediated,Q,15,100
Mediated,Q,16,50
Mediated,Q,17,100
Mediated,Q,18,100
Mediated,R,1,0
Mediated,R,2,0
Mediated,R,3,0
Mediated,R,4,50
Mediated,R,5,50
Mediated,R,6,0
Mediated,R,7,100
Mediated,R,8,0
Mediated,R,9,0
Mediated,R,10,0
Mediated,R,11,0
Mediated,R,12,0
Mediated,R,13,0
Mediated,R,14,0
Mediated,R,15,0
Mediated,R,16,0
Mediated,R,17,0
Mediated,R,18,0
Mediated,S,1,50
Mediated,S,2,100
Mediated,S,3,50
Mediated,S,4,0
Mediated,S,5,50
Mediated,S,6,100
Mediated,S,7,0
Mediated,S,8,0
Mediated,S,9,0
Mediated,S,10,100
Mediated,S,11,50
Mediated,S,12,100
Mediated,S,13,100
Mediated,S,14,100
Mediated,S,15,100
Mediated,S,16,0
Mediated,S,17,0
Mediated,S,18,100
Mediated,T,1,100
Mediated,T,2,100
Mediated,T,3,50
Mediated,T,4,100
Mediated,T,5,50
Mediated,T,6,100
Mediated,T,7,100
Mediated,T,8,50
Mediated,T,9,100
Mediated,T,10,0
Mediated,T,11,100
Mediated,T,12,100
Mediated,T,13,100
Mediated,T,14,100
Mediated,T,15,100
Mediated,T,16,0
Mediated,T,17,100
Mediated,T,18,100
Mediated,U,1,100
Mediated,U,2,100
Mediated,U,3,100
Mediated,U,4,100
Mediated,U,5,100
Mediated,U,6,100
Mediated,U,7,100
Mediated,U,8,100
Mediated,U,9,100
Mediated,U,10,50
Mediated,U,11,100
Mediated,U,12,100
Mediated,U,13,100
Mediated,U,14,100
Mediated,U,15,100
Mediated,U,16,100
Mediated,U,17,100
Mediated,U,18,100
Mediated,V,1,0
Mediated,V,2,50
Mediated,V,3,50
Mediated,V,4,0
Mediated,V,5,0
Mediated,V,6,0
Mediated,V,7,50
Mediated,V,8,0
Mediated,V,9,0
Mediated,V,10,0
Mediated,V,11,50
Mediated,V,12,50
Mediated,V,13,0
Mediated,V,14,0
Mediated,V,15,50
Mediated,V,16,0
Mediated,V,17,0
Mediated,V,18,50
Mediated,W,1,0
Mediated,W,2,100
Mediated,W,3,0
Mediated,W,4,100
Mediated,W,5,0
Mediated,W,6,0
Mediated,W,7,100
Mediated,W,8,0
Mediated,W,9,100
Mediated,W,10,0
Mediated,W,11,100
Mediated,W,12,100
Mediated,W,13,0
Mediated,W,14,0
Mediated,W,15,100
Mediated,W,16,0
Mediated,W,17,100
Mediated,W,18,0
Mediated,X,1,100
Mediated,X,2,100
Mediated,X,3,100
Mediated,X,4,0
Mediated,X,5,50
Mediated,X,6,100
Mediated,X,7,100
Mediated,X,8,0
Mediated,X,9,100
Mediated,X,10,0
Mediated,X,11,0
Mediated,X,12,50
Mediated,X,13,100
Mediated,X,14,50
Mediated,X,15,100
Mediated,X,16,0
Mediated,X,17,100
Mediated,X,18,0
Mediated,Y,1,100
Mediated,Y,2,100
Mediated,Y,3,0
Mediated,Y,4,0
Mediated,Y,5,0
Mediated,Y,6,0
Mediated,Y,7,0
Mediated,Y,8,0
Mediated,Y,9,0
Mediated,Y,10,0
Mediated,Y,11,0
Mediated,Y,12,100
Mediated,Y,13,50
Mediated,Y,14,0
Mediated,Y,15,50
Mediated,Y,16,50
Mediated,Y,17,0
Mediated,Y,18,50
Mediated,Z,1,50
Mediated,Z,2,100
Mediated,Z,3,0
Mediated,Z,4,50
Mediated,Z,5,0
Mediated,Z,6,50
Mediated,Z,7,50
Mediated,Z,8,50
Mediated,Z,9,0
Mediated,Z,10,0
Mediated,Z,11,0
Mediated,Z,12,100
Mediated,Z,13,0
Mediated,Z,14,50
Mediated,Z,15,50
Mediated,Z,16,50
Mediated,Z,17,0
Mediated,Z,18,50
